id,title,description,link,image_link,additional_image_link,price,availability,condition,brand,product_type,google_product_category,age_group,color,material,pattern,item_group_id
MBS-001,The Marigold Bloom Summer Swaddle,"A lightweight summer option featuring bright marigold flowers to represent joy and festivity in Indian culture. An airy cream base with vibrant orange and gold floral block prints, accented with soft sage green leaves. Made of ultra-sheer, single-layer 100% organic cotton muslin for hot summer days.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/MBS-001_1.png,"https://swaddleshawls.com/products/MBS-001_2.png,https://swaddleshawls.com/products/MBS-001_3.png",28.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Soft Cream, Orange, Gold",Ultra-light Single Layer Organic Cotton Muslin,Marigold Floral Block Print,swaddles
DSH-001,The Desert Sand Heritage Swaddle,"A minimalist, highly versatile swaddle inspired by the warm, sun-baked earth of the Thar desert. A soft, warm terracotta/sand background with rich, muted rust and charcoal black traditional tribal geometric block prints.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/DSH-001_1.png,"https://swaddleshawls.com/products/DSH-001_2.png,https://swaddleshawls.com/products/DSH-001_3.png",30.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Warm Desert Sand, Rust, Charcoal",100% Cotton Muslin,Tribal Geometric Block Print,swaddles
JPP-001,The Jaipur Pink Peony Swaddle,"Inspired by the architectural warmth of the Pink City. A soft blush pink base with vibrant magenta, rich rose, and gold traditional block-printed peony florals. Designed to swaddle your baby in elegant, joyful luxury.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/JPP-001_1.png,"https://swaddleshawls.com/products/JPP-001_2.png,https://swaddleshawls.com/products/JPP-001_3.png",35.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Blush Pink, Magenta, Gold",100% Cotton Muslin,Traditional Floral Block Print,swaddles
KMB-001,The Kerala Monsoon Bamboo Swaddle,"Inspired by the lush tropical landscapes of southern India during the monsoon season. A pale bamboo green base comes alive with deep forest green and light matcha tropical leaf block prints. Woven from an ultra-soft, thermo-regulating premium bamboo-cotton blend.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/KMB-001_1.png,"https://swaddleshawls.com/products/KMB-001_2.png,https://swaddleshawls.com/products/KMB-001_3.png",38.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Pale Bamboo Green, Forest Green",70% Bamboo / 30% Organic Cotton Muslin,Tropical Leaf Botanical Block Print,swaddles
RPP-001,The Royal Peacock Plum Swaddle,"Inspired by the national bird of India. A soft pearlescent cream base adorned with deep regal plum, soft lavender, and rich turquoise block prints of peacock feathers. Features the official SwaddleShawls woven tag.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/RPP-001_1.png,"https://swaddleshawls.com/products/RPP-001_2.png,https://swaddleshawls.com/products/RPP-001_3.png",32.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Pearlescent Cream, Plum, Turquoise",100% Cotton Muslin,Traditional Peacock Feather Block Print,swaddles
GSS-001,The Goa Sandalwood Sunset Swaddle,"Inspired by golden hour on the coasts of Goa. A warm, soft sandalwood brown base comes alive with traditional terracotta and sunburst yellow botanical block prints. Features the official SwaddleShawls woven tag.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/GSS-001_1.png,"https://swaddleshawls.com/products/GSS-001_2.png,https://swaddleshawls.com/products/GSS-001_3.png",29.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Sandalwood Brown, Terracotta, Yellow",100% Cotton Muslin,Traditional Botanical Block Print,swaddles
KVR-001,The Kashmir Valley Rose Swaddle,"Inspired by the cool, misty dawn of the Kashmir valleys. A soft misty grey base with intricate, sprawling vintage rose and vine block prints in deep burgundy and muted silver. Features the official SwaddleShawls woven tag.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/KVR-001_1.png,"https://swaddleshawls.com/products/KVR-001_2.png,https://swaddleshawls.com/products/KVR-001_3.png",34.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Misty Grey, Burgundy, Silver",100% Cotton Muslin,Traditional Floral Vine Block Print,swaddles
HFS-001,The Himalayan Frost Heritage Swaddle,"Inspired by the cool, crisp air of the Himalayan mountains. A soft, icy blueish-white base adorned with deep navy blue and bright white block-printed geometric snowflake and star motifs. Features the official SwaddleShawls woven tag.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/HFS-001_1.png,"https://swaddleshawls.com/products/HFS-001_2.png,https://swaddleshawls.com/products/HFS-001_3.png",30.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Icy Blue, Navy, White",100% Cotton Muslin,Geometric Snowflake Block Print,swaddles
VSS-001,The Varanasi Sunset Silk-Blend Swaddle,"Inspired by the spiritual, vibrant sunsets over the Ganges in Varanasi. A soft, radiant sunset apricot base with rich vermilion red, soft gold, and deep charcoal gray traditional Indian damask block prints. Woven from a premium 70% Cotton / 30% Silk blend muslin for an exceptionally luxurious sheen and softness.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/VSS-001_1.png,"https://swaddleshawls.com/products/VSS-001_2.png,https://swaddleshawls.com/products/VSS-001_3.png",42.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Sunset Apricot, Vermilion Red, Gold",70% Cotton / 30% Silk Blend Muslin,Traditional Damask and Mandala Block Print,swaddles
JLS-001,The Royal Jaipur Loungewear Set,"A lightweight, breathable, two-piece nursing-friendly button-down loungewear pajama set for mothers. A soft blush pink base with delicate, intricate traditional Indian block-printed vines in magenta and gold. Features the official SwaddleShawls woven tag.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/JLS-001_1.png,https://swaddleshawls.com/products/JLS-001_2.png,58.00 USD,in stock,new,SwaddleShawls,Parenthood Essentials > Loungewear,"Apparel & Accessories > Clothing > Sleepwear & Loungewear > Pajamas",Adult,"Blush Pink, Magenta, Gold",100% Cotton Muslin,Traditional Floral Vine Block Print,loungewear
GLR-001,The Golden Lotus Maternity Robe,"A luxurious, lightweight maternity robe tailored for hospital stays, lounging, or nursing. Features a radiant saffron yellow base adorned with vibrant ruby and soft gold traditional Indian lotus floral block prints. Finished with wide, comfortable sleeves and our official SwaddleShawls tag.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/GLR-001_1.png,https://swaddleshawls.com/products/GLR-001_2.png,75.00 USD,in stock,new,SwaddleShawls,Parenthood Essentials > Robes,"Apparel & Accessories > Clothing > Sleepwear & Loungewear > Robes",Adult,"Saffron Yellow, Ruby, Gold",100% Cotton Muslin,Traditional Lotus Floral Block Print,robes
HNC-001,The Heritage Block-Print Nursing Cover,"Our premier essential for adulthood/parenthood. A lightweight, breathable nursing cover for mothers, designed to double gracefully as a stylish scarf or shawl. A deep, rich indigo dyed base featuring traditional white and silver Ajrakh geometric and floral block prints.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/HNC-001_1.png,https://swaddleshawls.com/products/HNC-001_2.png,45.00 USD,in stock,new,SwaddleShawls,Parenthood Essentials > Nursing Covers,"Baby & Toddler > Nursing & Feeding > Breastfeeding > Nursing Covers",Adult,"Deep Indigo, White, Silver",100% Cotton Muslin,Traditional Ajrakh Geometric Base,nursing-covers
